objective,serotype,inf_type,severity,vac_status,nb_inf_cat,nb_inf_series_cat3,nb_inf_series_cat4,nb_inf_series_cat5,nb_inf_series_cat6,nb_inf_series_cat7,nb_inf_series_cat8,nb_inf_series_cat9,nb_inf_series_cat10,pop_host_cat,pop_host_series_cat3,pop_host_series_cat4,costs_cat,costs_series_cat3,QoL_cat,threshold_cost_cat,CE_outcomes_cat,BI_cat
Comparison of control strategies (vaccination and/or vector control),DENV-1,Primary,Asympt.,Unvaccinated,Overall,DENV-1,Primary,Asymptomatic,Asymptomatic,Non-hospitalised,Non-fatal,Unvaccinated,Unvaccinated,Overall,Unvaccinated,Unvaccinated,Overall,Direct med. cost (payer),Overall,Direct med. cost (payer),Cost per dengue case avoided,Overall
Scenario analyses of initial condition,DENV-2,Secondary,"Sympt., mild, non-hosp.",Vaccinated as seroneg.,By age,DENV-2,Secondary,Symptomatic,Mild,Hospitalised,Fatal,Vaccinated,Vaccinated as seroneg.,By age,Vaccinated,Vaccinated as seroneg.,By age,Direct non-med. cost (societal),NA,Direct non-med. cost (societal),Cost per symptomatic dengue case avoided,NA
Scenario analyses of cost inputs,DENV-3,Tertiary & quaternary,"Sympt., mild, hosp.",Vaccinated as seropos.,By serotype,DENV-3,Tertiary & quaternary,NA,Severe,NA,NA,NA,Vaccinated as seropos.,By vaccination status,NA,Vaccinated as seropos.,By category,Lost income (societal),NA,Lost income (societal),Cost per severe dengue case avoided,NA
Scenario analyses of quality-of-life inputs,DENV-4,NA,"Sympt., severe, non-hosp.",NA,By infection type,DENV-4,NA,NA,NA,NA,NA,NA,NA,By vaccination & serostatus,NA,NA,NA,School absenteeism cost (societal),NA,Serological screening,Cost per dengue-related hospitalisation avoided,NA
NA,NA,NA,"Sympt., severe, hosp., non-fatal",NA,By presence of symptoms,NA,NA,NA,NA,NA,NA,NA,NA,Newly vaccinated,NA,NA,NA,Serological screening,NA,Vaccine  & administration,Cost per dengue-related death avoided,NA
NA,NA,NA,"Sympt., severe, hosp., fatal",NA,By severity,NA,NA,NA,NA,NA,NA,NA,NA,Newly screened,NA,NA,NA,Vaccine  & administration,NA,Misc. cost of vac. campaign,Cost per DALY averted,NA
NA,NA,NA,NA,NA,By hospitalisation status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Misc. cost of vac. campaign,NA,Vector control,NA,NA
NA,NA,NA,NA,NA,By survival status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vector control,NA,NA,NA,NA
NA,NA,NA,NA,NA,By vaccination status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,By vaccination & serostatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
